0	Domain	MBFC factual	Site Rank	W	MisinfoMe	Logically	Our.news	Get fact-checks for:
84	cei.org	low	341,823	W	0.28	low	 	Competitive Enterprise Institute
85	censored.news	low	341,119	 	-0.60	low	 	Censored.news
86	cfact.org	low	538,026	W	0.20	low	problematic	The Committee for a Constructive Tomorrow (CFACT)
87	childrenshealthdefense.org	low	78,475	W	-0.78	low	problematic	Children's Health Defense
88	chlorellafactor.com	very-low	20,000,000	W	0.00	low	problematic	Chlorella Factor
89	christianaction.org	low	500,176	W	0.00	low	 	Christian Action Network
90	christianscience.com	low	178,497	W	0.24	low	problematic	Christian Science
91	christiansfortruth.com	very-low	342,936	W	-0.96	low	 	Christians for Truth
92	cityworldnews.com	very-low	16,006,975	 	-0.90	low	 	CityWorldNews
93	clarionproject.org	low	208,275	W	0.24	low	 	Clarion Project
94	clashdaily.com	low	160,053	 	-0.85	low	problematic	Clash Daily
95	climate.news	very-low	5,384,066	W	0.00	low	 	Climate.News
96	climatechangedispatch.com	low	782,598	 	-0.08	low	problematic	Climate Change Dispatch
97	climatism.blog	low	1,160,373	 	0.00	low	problematic	Climatism
98	cloverchronicle.com	low	1,065,138	 	0.00	low	 	Clover Chronicle
99	cnnsofake.news	very-low	20,000,000	 	 	unknown	 	CNN So Fake News
100	cnsnews.com	low	33,402	W	-0.69	low	verified	CNS News
101	coasttocoastam.com	low	22,966	W	-0.08	low	problematic	Coast to Coast AM
102	collapse.news	very-low	2,494,406	W	0.00	low	 	Collapse.News
103	collective-evolution.com	low	24,058	 	-0.55	low	problematic	Collective Evolution
104	concernedwomen.org	low	1,264,653	W	-0.38	unknown	 	Concerned Women for America
105	conservativeammo.com	low	2,874,905	 	0.00	low	 	Conservative Ammo
106	conservativebeaver.com	very-low	1,210,737	 	-1.00	unknown	 	Conservative Beaver
107	conservativedailypost.com	low	52,389	 	-0.99	low	problematic	Conservative Daily Post
108	conservativefreepress.com	low	498,141	 	0.00	low	 	Conservative Free Press
109	conservativeplaylist.com	low	308,296	 	-0.59	unknown	 	Conservative Playlist
110	conservativepost.com	low	775,568	 	-0.76	low	problematic	Conservative Post
111	conspiracydailyupdate.com	very-low	376,327	 	-1.00	low	problematic	Conspiracy Daily Update
112	consumerwellness.org	very-low	4,350,479	 	0.28	unknown	 	Consumer Wellness Center
113	corbettreport.com	low	93,466	 	-0.92	low	problematic	The Corbett Report
114	corona-transition.org	low	32,698	 	0.38	unknown	 	Corona Transition
115	cosmicintelligenceagency.com	low	237,380	 	0.00	low	problematic	Cosmic Intelligence Agency
116	counterthink.com	very-low	6,181,565	W	0.00	low	 	CounterThink.com
117	covid19criticalcare.com	low	17,743	W	-0.56	unknown	 	FLCCC Alliance
118	creation.com	low	55,961	 	0.22	low	problematic	Christian Ministries International
119	csglobe.com	low	1,263,204	 	-0.87	low	problematic	CS Globe
120	curiousmindmagazine.com	low	122,023	 	0.00	low	problematic	Curious Mind Magazine
121	dagospia.com	low	1,273	W	0.66	unknown	 	Dagospia
122	dailybuzzlive.com	very-low	1,425,259	W	-0.95	low	problematic	Daily Buzz Live
123	dailyexpose.co.uk	very-low	250,150	 	0.00	unknown	 	The Daily Expose
124	dailyheadlines.net	low	428,808	 	-1.00	low	unverified	Daily Headlines
125	dailyhealthpost.com	low	142,158	 	-0.71	low	problematic	DailyHealthPost
126	dailymail.co.uk	low	316	W	 	unknown	 	Daily Mail
127	dailyoccupation.com	low	722,179	 	-1.00	low	problematic	Daily Occupation
128	dailysceptic.org	very-low	100,630	 	0.15	unknown	 	Daily Sceptic
129	dailystormer.su	very-low	78,915	W	-0.56	unknown	unverified	Daily Stormer
130	dailysurge.com	low	202,999	 	-1.00	medium	problematic	Daily Surge
131	darkjournalist.com	low	764,232	 	0.00	low	problematic	Dark Journalist
132	dataasylum.com	low	2,507,356	 	-1.00	low	problematic	Data Asylum
133	davidharrisjr.com	low	164,309	 	-1.00	low	verified	David Harris Jr
134	davidicke.com	very-low	36,009	 	-0.79	low	problematic	David Icke
135	dcclothesline.com	low	144,327	 	-0.62	low	problematic	The DC Clothesline
136	dcdirtylaundry.com	very-low	78,280	 	0.00	low	problematic	DC Dirty Laundry
137	dcgazette.com	low	3,708,726	W	-0.89	low	problematic	DC Gazette
138	de.rt.com	very-low	346	W	-0.00	unknown	 	RT DE
139	defconnews.com	low	348,545	 	 	low	unverified	Def-Con News
140	defendingtherepublic.org	very-low	225,001	 	 	unknown	 	Defending the Republic
141	defiantamerica.com	low	2,691,233	 	0.00	low	 	Defiant America
142	deplorablekel.com	low	467,402	 	0.00	low	 	Deplorable Kel
143	digifection.com	low	658,363	 	-0.98	unknown	 	The Times of America
144	disclose.tv	low	27,647	W	-0.78	low	problematic	Disclose TV
145	discoverthenetworks.org	low	689,724	W	0.54	low	 	Discover the Networks
146	discovery.org	low	393,423	W	0.12	low	problematic	Discovery Institute
147	distributednews.com	very-low	138,257	 	-1.00	low	 	Hang The Censors
148	djhjmedia.com	low	37,321	 	-0.80	low	unverified	BitChute
149	doctors4covidethics.org	very-low	251,712	 	-0.26	unknown	 	Doctors for Covid Ethics
150	donaldjtrump.com	low	21,643	W	-0.58	unknown	unverified	Save America
151	drnorthrup.com	low	384,664	W	0.22	unknown	 	DrNorthrup.com
152	earthpulse.com	low	3,286,750	 	0.20	low	problematic	Earthpulse Press
153	echocheck.org	very-low	20,000,000	 	-1.00	unknown	 	Echo Check
154	ecology.news	very-low	4,189,190	W	0.00	low	 	Ecology News
155	educate-yourself.org	very-low	189,941	 	-0.20	low	problematic	Educate Yourself
156	electroverse.net	low	335,147	 	0.00	low	unverified	Electroverse
157	empireherald.com	low	15,343,499	W	-1.00	low	problematic	Empire Herald
158	en-volve.com	very-low	326,775	 	-1.00	low	problematic	En-volve
159	en.metapedia.org	low	60,690	W	-0.36	low	 	Metapedia
160	en.newsner.com	very-low	60,852	 	0.00	unknown	 	Newsner
161	endthefed.org	low	1,917,909	 	0.00	low	 	End the Fed
162	escapeallthesethings.com	low	1,117,542	 	0.38	low	problematic	Escape all these Things
163	eugenics.news	very-low	4,619,005	 	0.00	low	problematic	Eugenics.News
164	europereloaded.com	low	570,373	 	 	unknown	 	Europe Reloaded
165	eutimes.net	low	746,635	 	-0.13	low	problematic	The European Union Times
166	everylegalvote.com	low	61,873	 	0.00	unknown	 	Every Legal Vote
167	evil.news	low	9,016,680	W	0.00	unknown	 	Evil.News
168	evolutionnews.org	low	147,408	 	0.12	low	problematic	Evolution News and Views
169	explainlife.com	very-low	240,818	 	-1.00	unknown	unverified	Explain Life
170	fairus.org	low	149,084	W	0.24	unknown	 	The Federation for American Immigration Reform
171	fellowshipoftheminds.com	low	109,424	 	-0.91	low	problematic	Fellowship of the Minds
172	focusonthefamily.com	low	33,829	W	0.66	low	unverified	Focus on the Family
173	food.news	very-low	2,704,667	W	0.00	low	 	Food.News
174	foreverconscious.com	low	189,774	 	0.32	low	problematic	Forever Conscious
175	fortherightnews.com	low	4,561,531	 	0.00	low	 	For the Right News
176	fr.sputniknews.com	very-low	1,047	W	0.04	low	problematic	Sputnik France
177	frankspeech.com	very-low	22,147	W	0.60	unknown	 	Frank Speech
178	frc.org	low	171,433	W	0.24	low	unverified	Family Research Council
179	free-speechfront.info	low	4,392,810	 	-0.60	unknown	 	Free-Speech Front
180	freedom.news	very-low	20,000,000	W	0.00	low	problematic	Freedom.News
181	freedomadvocates.org	low	5,095,191	 	0.00	low	problematic	Freedom Advocates
182	freedomainradio.com	low	332,816	W	-0.33	low	problematic	Freedomain Radio
183	freedomdaily.com	low	8,199,533	 	-0.97	low	problematic	Freedom Daily
184	freedomfirstnetwork.com	low	86,244	 	-0.60	unknown	 	Freedom First Network
185	freedomproject.com	low	2,917,368	 	0.12	unknown	unverified	FreedomProject Media
186	freeworldnews.tv	very-low	66,866	 	0.00	unknown	 	Banned.Video
187	friatider.se	low	146,672	 	-0.83	unknown	 	Fria Tider
188	fromthetrenchesworldreport.com	low	361,089	 	-0.54	low	problematic	From the Trenches World Report
189	frontpagemag.com	low	53,181	W	-0.71	low	problematic	FrontPage Magazine
190	fury.news	very-low	7,548,165	 	0.00	low	unverified	Fury News
191	gaia.com	low	18,355	 	-0.04	low	problematic	Gaia
192	gellerreport.com	low	83,508	W	-0.97	low	problematic	Geller Report
193	gender.news	very-low	20,000,000	 	 	unknown	 	Gender.news
194	geoengineering.news	very-low	20,000,000	W	0.00	low	 	Geoengineering.News
195	geoengineeringwatch.org	low	218,564	 	-0.61	low	problematic	GeoEngineering Watch
196	geopol.institute	low	1,584,225	 	0.00	unknown	 	Geopolitical Studies Institute
197	getholistichealth.com	low	288,994	 	-0.93	low	problematic	Get Holistic Health
198	gettr.com	low	10,803	W	-0.58	unknown	 	GETTR
199	glitch.news	very-low	4,703,013	 	0.20	low	 	Glitch.News
200	globalinfotoday.com	low	20,000,000	 	0.00	low	 	Global Info Today
201	globalresearch.ca	low	26,012	W	-0.77	low	problematic	Global Research
202	globalskywatch.com	low	1,422,431	 	0.00	low	 	Global Skywatch
203	globemagazine.com	very-low	2,751,943	 	0.22	low	 	Globe Magazine
204	gmo.news	very-low	20,000,000	W	-0.22	low	 	GMO.News
205	gnews.org	low	22,665	 	-0.58	low	problematic	Gnews
206	godandscience.org	low	549,935	 	0.66	low	problematic	Evidence for God from Science
207	godlikeproductions.com	low	12,222	 	-0.67	low	problematic	Godlike Productions
208	goodgopher.com	very-low	413,031	 	0.00	low	 	GoodGopher
209	goodsciencing.com	very-low	80,921	 	0.60	unknown	 	Real Science
210	goop.com	low	13,260	W	0.62	low	unverified	Goop
211	gotquestions.org	low	6,153	 	0.78	low	problematic	Got Questions
212	govtslaves.com	low	20,000,000	 	0.00	low	problematic	Government Slaves
213	grainoftruth.ca	very-low	1,827,170	 	0.00	low	 	Grain of Truth
214	greatamericandaily.com	low	282,103	 	0.00	low	 	Great American Daily
215	greatamericanrepublic.com	low	4,166,209	 	0.00	low	unverified	Great American Republic
216	greatreject.org	very-low	270,084	 	-0.91	unknown	 	GreatReject
217	greenmedinfo.com	low	55,143	 	-0.64	low	problematic	GreenMedInfo
218	greenvillegazette.com	low	3,724,708	 	0.00	unknown	unverified	Greenville Gazette
219	gulagbound.com	low	2,485,234	 	-0.33	low	problematic	Gulag Bound
220	hagmannreport.com	low	1,215,502	 	0.24	unknown	 	Hagmann Report
221	halturnerradioshow.com	very-low	91,611	W	-0.57	low	unverified	Hal Turner Radio Show
222	hangthebankers.com	low	596,098	 	-0.78	low	 	Hang The Bankers
223	hannity.com	low	69,187	W	-0.15	low	verified	Sean Hannity
224	healingfoodreference.com	very-low	2,981,377	 	0.50	low	 	Healing Food Reference
225	healingoracle.ch	very-low	1,132,882	 	0.00	low	problematic	Healing Oracle
226	health.news	very-low	957,767	W	0.00	low	problematic	Health.News
227	healthimpactnews.com	very-low	184,109	 	-0.76	low	problematic	Health Impact News
228	healthnutnews.com	very-low	85,465	 	-0.85	low	problematic	Health Nut News
229	healthranger.com	very-low	2,517,608	 	-0.14	low	 	The Health Ranger
230	healthrangerreport.com	very-low	1,357,638	W	0.00	low	problematic	Health Ranger Report
231	healthy-holistic-living.com	low	61,516	 	-0.85	low	problematic	Healthy Holistic Living
232	healthyfoodhouse.com	low	41,171	 	-0.33	low	problematic	Healthy Food House
233	heartland.org	low	314,281	W	-0.28	low	unverified	Heartland Institute
234	herbreference.com	very-low	4,217,904	 	0.00	low	 	Herbreference.com
235	hoggwatch.com	low	3,451,464	W	0.00	low	 	Hogg Watch
236	homevaccineeducationnetwork.com	very-low	20,000,000	 	 	unknown	 	Home Vaccine Education Network
237	hsionline.com	low	648,601	 	0.00	low	problematic	Health Sciences Institute
238	humansarefree.com	low	96,003	 	-0.57	low	problematic	Humans are Free
239	iceagenow.info	low	434,235	 	0.24	low	problematic	Ice Age Now
240	icr.org	very-low	114,323	 	-0.19	low	 	Institute for Creation Research (IRC)
241	ihatethemedia.com	low	1,238,104	 	0.50	low	 	I Hate the Media
242	ihealthtube.com	low	804,636	 	0.44	low	problematic	iHealthtube.com
243	ihr.org	very-low	335,362	W	-0.24	low	 	Institute for Historical Review (IHR)
244	illicitinfo.com	low	269,313	 	0.00	low	 	Illicit Info
245	illuminatiwatcher.com	low	544,983	 	-0.89	low	problematic	Illuminati Watcher
246	ilovemyfreedom.org	very-low	61,855	 	-1.00	low	 	I Love My Freedom
247	infiniteunknown.net	low	549,776	 	-0.47	low	problematic	Infinite Unknown
248	infogalactic.com	low	107,104	W	0.00	low	 	InfoGalactic
249	informationliberation.com	low	92,020	 	-0.85	unknown	problematic	Information Liberation
250	inforos.ru	low	564,067	 	0.22	low	 	InfoRos.ru
251	infowars.com	very-low	4,158	W	-0.88	low	problematic	Infowars
252	ingredients.news	very-low	9,416,739	W	0.00	low	 	Ingredients.News
253	intellihub.com	low	151,112	 	-0.66	low	problematic	Intellihub
254	iowaclimate.org	low	5,736,613	 	0.00	low	problematic	Iowa Climate Science Education
255	israelislamandendtimes.com	low	827,742	 	0.00	low	problematic	Israel, Islam and End Times
256	it.sputniknews.com	very-low	1,047	W	0.28	low	problematic	Sputnik Italia
257	jedanews.com	low	2,318,392	 	 	medium	 	Jeda News
258	jesus-is-savior.com	very-low	125,795	 	-0.34	low	problematic	Jesus is Savior
259	jesusdaily.com	low	445,389	 	0.60	low	problematic	Jesus Daily
260	joebiden.news	very-low	3,704,017	 	0.00	low	 	Joe Biden News
261	judicialwatch.org	low	52,168	W	0.23	low	unverified	Judicial Watch
262	junkscience.com	low	671,381	 	0.34	low	problematic	JunkScience.com
263	knowledgeoftoday.org	low	1,231,221	 	-0.47	low	 	Knowledge of Today
264	larouchepac.com	low	151,717	W	0.42	low	problematic	LaRouche PAC
265	learntherisk.org	very-low	1,015,206	W	0.00	low	problematic	LearnTheRisk.org
266	leftaction.com	low	2,899,350	 	0.48	low	unverified	Left Action
267	leftcult.com	very-low	3,357,840	 	0.00	low	 	LeftCult
268	leftexposed.org	low	2,647,658	 	0.00	low	 	Left Exposed
269	lesmoutonsrebelles.com	very-low	3,162,217	 	-0.98	unknown	problematic	Moutons Rebelles
270	lewrockwell.com	low	43,237	W	0.10	low	unverified	Lew Rockwell
271	liberty.news	very-low	3,754,007	W	0.00	low	 	Liberty.News
272	libertybell.com	low	2,369,605	 	-0.28	unknown	 	Liberty Bell
273	libertyhangout.org	low	671,279	W	0.00	medium	unverified	Liberty Hangout
274	libertyplanets.com	very-low	636,261	 	 	unknown	 	Liberty Planet
275	libertyvideos.org	low	16,953,997	 	-0.67	low	problematic	Liberty Videos
276	libtards.news	very-low	8,087,318	W	0.00	low	 	Libtards.News
277	lifenews.com	low	73,063	 	-0.73	medium	verified	Life News
278	lifesitenews.com	low	31,358	 	-0.16	low	unverified	Life Site News
279	lifespa.com	low	108,758	 	0.00	low	problematic	LifeSpa
280	lindelltv.com	very-low	124,895	W	-1.00	unknown	 	Lindell TV
281	londonwebnews.com	low	9,122,758	 	0.00	low	problematic	London Web News
282	loonwatch.com	low	3,630,876	 	0.00	low	 	LoonWatch
283	madworldnews.com	low	154,163	 	-0.69	low	problematic	Mad World News
284	mainstreamfakemedia.com	low	4,062,382	 	 	unknown	 	Mainstream Fake Media
285	mediafactwatch.com	very-low	4,296,371	W	0.00	low	problematic	Media Fact Watch
286	medicalkidnap.com	very-low	388,625	 	-1.00	low	problematic	Medical Kidnap
287	medicalmedium.com	low	87,680	W	0.24	low	problematic	Medical Medium
288	medicine.news	low	5,074,305	W	0.00	low	problematic	Medicine News
289	meforum.org	low	218,826	W	0.64	low	 	Middle East Forum
290	mercola.com	low	6,133	W	0.00	low	problematic	Mercola
291	merica1st.com	low	946,379	 	-0.60	unknown	 	National Conservative
292	micdroppolitics.com	low	1,523,661	 	 	medium	unverified	Mic Drop Politics
293	mixi.media	low	42,288	 	0.00	low	 	Mixi.Media
294	moonbattery.com	low	317,014	 	0.64	low	 	MoonBattery
295	mtonews.com	low	19,722	 	0.60	unknown	unverified	MTO News
296	myrightamerica.com	low	10,467,000	 	0.00	low	 	My Right American
297	natall.com	very-low	2,928,699	W	-0.54	low	 	National Alliance
298	nationaleconomicseditorial.com	low	1,649,565	 	0.20	low	 	National Economics Editorial
299	nationalenquirer.com	low	55,172	W	-0.68	low	unverified	National Enquirer
300	nationalfile.com	low	51,619	 	-0.68	low	problematic	National File
301	nationalinsiders.com	low	1,377,414	 	 	unknown	 	National Insiders
302	nationalrighttolifenews.org	low	1,014,698	 	0.54	low	 	NRL News Today
303	nationalsecurity.news	very-low	8,581,318	W	0.00	low	 	NationalSecurity.News
304	nationalvanguard.org	very-low	138,165	W	-0.41	low	unverified	National Vanguard
305	naturalmedicine.news	very-low	3,935,491	W	0.00	low	problematic	NaturalMedicine.News
306	naturalnews.com	very-low	18,138	W	-0.95	low	problematic	Natural News
307	naturalnewsblogs.com	very-low	289,298	W	-0.80	low	 	NaturalNewsBlogs
308	naturalnewsradio.com	very-low	3,023,044	W	0.00	low	problematic	Natural News Radio
309	naturalpedia.com	very-low	1,054,871	W	0.00	low	 	NaturalPedia.com
310	navarroreport.com	low	290,190	W	0.00	unknown	 	The Navarro Report
311	needtoknow.news	low	145,567	 	0.00	low	problematic	Need to Know
312	neonnettle.com	low	66,999	W	-0.94	low	problematic	Neon Nettle
313	newamericannews.com	low	13,193,223	 	0.00	low	problematic	New American News
314	newnation.org	very-low	1,929,909	 	-0.24	low	 	New Nation News
315	newsexaminer.net	low	2,892,385	W	 	low	 	NewsExaminer.net
316	newsfeedhunter.com	low	20,000,000	 	-0.95	low	problematic	News Feed Hunter
317	newsheist.com	low	6,804,930	 	0.00	medium	 	News Heist
318	newshourfirst.com	low	1,092,619	 	-0.60	unknown	 	News Hour First
319	newsinsideout.com	low	1,684,680	 	0.00	low	problematic	News Inside Out
320	newspunch.com	very-low	158,612	W	-0.93	low	problematic	News Punch
321	newspushed.com	low	362,232	 	0.00	low	 	News Pushed
322	newstarget.com	low	143,501	W	-0.85	low	problematic	News Target
323	newsview.gr	very-low	435,530	 	-0.93	unknown	 	Newsview
324	newswars.com	low	63,937	 	-1.00	low	unverified	NewsWars
325	newswithviews.com	low	196,438	 	-0.08	low	unverified	News with Views
326	noqreport.com	low	39,130	 	-0.58	medium	 	NOQ Report
327	notallowedto.com	low	978,627	 	-0.92	low	problematic	Not Allowed to
328	notrickszone.com	low	521,247	 	-0.76	low	problematic	NoTricksZone
329	now8news.com	very-low	1,741,848	W	-0.96	low	problematic	Now8News
